Year,Bhojpur,Sherpur,Borda,Kushalpura,Pachama,Kharpa,Ahmadpur,Hirapur
1983,12,66,35,17,11,12,25,16
1984,16,54,55,29,23,43,35,21
1985,14,45,55,19,32,41,50,28
1986,19,76,70,21,41,37,71,30
1987,27,87,53,32,38,31,99,32
1988,20,89,70,29,39,31,103,35
1989,39,92,55,15,45,37,61,44
1990,43,50,62,43,41,36,76,45
1991,41,50,62,23,42,36,73,46
1992,45,94,80,27,47,39,71,56
1993,46,89,73,38,47,40,92,67
1994,39,50,92,33,47,39,62,69
1995,48,99,92,55,42,36,104,70
1996,37,89,73,56,47,39,106,34
1997,35,89,66,45,51,43,69,44
1998,52,89,73,37,55,45,64,45
1999,42,91,78,50,57,50,113,23
2000,45,50,92,43,54,46,91,53
2001,39,91,78,41,51,44,64,48
2002,37,103,90,23,41,45,101,49
2003,30,99,92,34,43,48,124,41
2004,35,107,74,23,44,38,108,42
2005,28,101,95,39,46,39,65,50
2006,45,96,81,32,54,47,105,26
2007,34,89,95,37,34,52,94,27
2008,36,50,92,43,58,50,100,28
2009,50,117,92,39,51,45,63,30
2010,44,99,92,35,39,34,73,32
2011,39,104,52,44,36,33,112,35
2012,32,107,77,38,39,45,97,44
2013,49,114,84,24,42,52,95,45
2014,45,101,84,23,50,65,102,46
2015,43,97,102,31,49,50,113,56
2016,39,113,102,44,50,65,65,67
2017,41,101,81,38,55,54,64,69
2018,38,143,90,50,53,46,104,70
2019,45,126,90,42,49,44,75,49
2020,42,128,102,51,52,65,83,62
2021,46,109,102,44,59,53,98,45
2022,41,123,114,51,65,50,112,70
